id,has_select,has_add,has_update,has_delete,system_role_id,system_module_id
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Immunology Validation' ) , ( select id from system_module where name  = 'ResultValidation:immunology' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Hematology Validation' ) , ( select id from system_module where name  = 'ResultValidation:hematology' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biochemistry Validation' ) , ( select id from system_module where name  = 'ResultValidation:biochemistry' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Serology Validation' ) , ( select id from system_module where name  = 'ResultValidation:serology' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology Validation' ) , ( select id from system_module where name  = 'ResultValidation:virology' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biologist' ) , ( select id from system_module where name  = 'ResultValidation:immunology' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biologist' ) , ( select id from system_module where name  = 'ResultValidation:hematology' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biologist' ) , ( select id from system_module where name  = 'ResultValidation:biochemistry' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biologist' ) , ( select id from system_module where name  = 'ResultValidation:serology' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biologist' ) , ( select id from system_module where name  = 'ResultValidation:virology' )  
